energy	beta_circ	deltabeta	err_dbeta	deltadelta	err_ddelta	deltabeta_no_corr	deltadelta_no_corr
45.0007570000000	0.0881663546755465	0.00103489080223228	0.0733110502337418	0.00234213909054567	0.498831453445893	0.000945796438842730	0.00262517879137179
45.3737080000000	0.0836649638164204	0.000976762310115590	0.0732902599556553	0.00116612162795022	0.455162339539818	0.000974921855095837	0.00133494460051628
45.7471010000000	0.0799930900051182	0.000971976789549938	0.0732707770771391	0.00189451890829895	0.419010659630201	0.000921105842084252	0.00211550705293682
46.1203240000000	0.0742321103110463	0.000916869329742752	0.0732523645549339	0.000638425991423681	0.380968148543229	0.000948629769331264	0.000746766497734516
46.4935340000000	0.0695301808824978	0.000986331919203885	0.0732344804429242	0.00124733486980590	0.349459184589154	0.000987608047071501	0.00140016801850005
46.8669600000000	0.0662553937807554	0.000935095272397240	0.0732182042194237	0.00230628719468896	0.324703558122863	0.000874348680915905	0.00252651426251129
47.2404270000000	0.0622789632044152	0.00108126024272995	0.0732036695551083	0.00356621771665718	0.302075424867332	0.000970562106511231	0.00387159034403638
47.6135160000000	0.0595165749657304	0.00114051739443112	0.0731906564461593	0.00363861136659831	0.284419635534276	0.00103607144695829	0.00393747312353925
47.9872360000000	0.0563857870331061	0.00100217329075953	0.0731781908383965	0.00171157117576241	0.267637645650652	0.000985773372124828	0.00186677423163857
48.3603500000000	0.0540162304510269	0.00123168141611418	0.0731670901399173	0.00365956733407041	0.255591911885376	0.00114297376161183	0.00393371859537073
48.7336890000000	0.0517853975589651	0.00116340859430696	0.0731573086577714	0.00276052243766215	0.244528802136318	0.00111233090110335	0.00296560530652158
49.1070160000000	0.0496775719691381	0.00119953633251805	0.0731479128199473	0.00219345339058770	0.234353144199509	0.00117455264643284	0.00235772755644266
49.4805120000000	0.0472660797560129	0.00129370913972852	0.0731399220656482	0.00255481641348720	0.224556264326239	0.00125997835528584	0.00272946584026773
49.8535010000000	0.0460915775681698	0.00133512814826709	0.0731327168265135	0.00307627555141417	0.217113111057579	0.00128208992312192	0.00326432032680597
50.2269630000000	0.0443720883376608	0.00133502185899594	0.0731258118702896	0.00403564220528417	0.209288273584844	0.00124765223062106	0.00424747081508744
50.6006050000000	0.0431152578102650	0.00135871493413447	0.0731193244517757	0.00380680056473106	0.202434483891391	0.00127931227164487	0.00399172330337873
50.9738840000000	0.0405510858132017	0.00142640362538637	0.0731130559753701	0.00491647500355639	0.194530527132680	0.00131605445855747	0.00511573108030896
51.3472360000000	0.0387479083109309	0.00142239726190338	0.0731060777456527	0.00590587511062162	0.186811982030948	0.00128350934662986	0.00610348983903761
51.7202460000000	0.0374755798861364	0.00116145265888848	0.0731001227103939	0.00710208790108112	0.180145286345467	0.000982018502467012	0.00727559786788532
52.0937760000000	0.0386949411503763	0.000183015706074054	0.0730966943676691	0.00857779532900644	0.176159336703122	-6.37079007870074e-05	0.00869539788306806
52.4668870000000	0.0478449262314423	-0.00113390364058595	0.0730993532500833	0.00886048523170952	0.179691893913925	-0.00144965138140852	0.00884886816849712
52.8403450000000	0.0600124681233920	-0.00223126669587316	0.0731054648066050	0.00987521221202050	0.187094448040335	-0.00263998241976694	0.00969859862864146
53.2136430000000	0.0758452902348452	-0.00403904432290792	0.0731167510699068	0.0105644922308001	0.200201861829687	-0.00451157184189431	0.0101168438374673
53.5871780000000	0.0940897752262726	-0.00644612904662763	0.0731314073570249	0.0115568565444836	0.218947439193197	-0.00692907226505396	0.0106915185296718
53.9601990000000	0.113823188581097	-0.00879000595573313	0.0731496525397263	0.00989743857595536	0.243752385301276	-0.00905905838582515	0.00870665737087276
54.3336550000000	0.134887336140075	-0.0107897250217207	0.0731739233397400	0.00794467552331029	0.276874983179955	-0.0109753776977682	0.00658495496983500
54.7069910000000	0.158715068708742	-0.0125710165897274	0.0732053787039536	0.00485332823578690	0.324233453967981	-0.0125239911840578	0.00328844517036591
55.0805660000000	0.181390962750254	-0.0131541005147724	0.0732422119883889	-0.000333602725400196	0.380301221636971	-0.0126058237357414	-0.00195949550785687
55.4537040000000	0.198585382435006	-0.0123705328588590	0.0732770837752820	-0.00395851615596572	0.430222012289309	-0.0114415984780696	-0.00555930012230024
55.8270870000000	0.207602379460325	-0.0105065483061788	0.0732971901032367	-0.00775138035610856	0.455811975477489	-0.00912128428507569	-0.00913548592143425
56.2006210000000	0.212160687724374	-0.00846796973484311	0.0733007652309618	-0.00996764887528233	0.464393981079277	-0.00680339437079108	-0.0111188644352036
56.5738770000000	0.209686007426617	-0.00643663954911714	0.0732911982984701	-0.0114837663463974	0.444535644282335	-0.00461583200859491	-0.0124056720436814
56.9467610000000	0.203043788064728	-0.00411487407480145	0.0732727428537827	-0.00906202311263513	0.410684806564980	-0.00273995942423463	-0.00969046537825000
57.3204130000000	0.194333045785107	-0.00256990221482239	0.0732502802888956	-0.00898270164516923	0.369358504670776	-0.00126681084872032	-0.00943146721985392
57.6939750000000	0.184703816408026	-0.00117913108574494	0.0732262960335918	-0.00785201808346524	0.330048732390965	-8.34421940075848e-05	-0.00813973890142589
58.0675790000000	0.173945308824145	-0.000173790949733002	0.0732021977929545	-0.00647904166987757	0.293127987334701	0.000699076594115164	-0.00665157167102990
58.4399380000000	0.165100148634026	0.000399126329561591	0.0731808976954068	-0.00565852206936594	0.264785835316533	0.00114720636310636	-0.00577751031052207
58.8137660000000	0.156018427826886	0.000819823411775780	0.0731622356329802	-0.00454843856055820	0.239733777637531	0.00141459588367090	-0.00461213023479590
